2019-07-14 11:08:16.654 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.ming.MingApplicationTests], using SpringBootContextLoader
2019-07-14 11:08:16.660 [main] INFO  o.s.test.context.support.AbstractContextLoader-Could not detect default resource locations for test class [com.example.ming.MingApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-07-14 11:08:16.661 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils-Could not detect default configuration classes for test class [com.example.ming.MingApplicationTests]: MingApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-07-14 11:08:16.771 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Found @SpringBootConfiguration com.example.ming.MingApplication for test class com.example.ming.MingApplicationTests
2019-07-14 11:08:16.849 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-07-14 11:08:16.865 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@a3d8174, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1ba9117e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@732c2a62, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@272ed83b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@41fecb8b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@120f102b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@625732, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@51dcb805, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@66498326, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@cad498c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1e6454ec, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2accdbb5]
2019-07-14 11:08:17.479 [main] INFO  com.example.ming.MingApplicationTests-Starting MingApplicationTests on DESKTOP-PU4QPIV with PID 5544 (started by nikekun in F:\ming)
2019-07-14 11:08:17.480 [main] INFO  com.example.ming.MingApplicationTests-The following profiles are active: test
2019-07-14 11:08:18.835 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner-No MyBatis mapper was found in '[com.example.ming]' package. Please check your configuration.
2019-07-14 11:08:19.316 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker-Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$9134b211] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-14 11:08:20.135 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping-Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2019-07-14 11:08:20.848 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor-Initializing ExecutorService 'applicationTaskExecutor'
2019-07-14 11:08:21.687 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper-Context refreshed
2019-07-14 11:08:21.734 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper-Found 1 custom documentation plugin(s)
2019-07-14 11:08:21.779 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner-Scanning for api listing references
2019-07-14 11:08:22.041 [main] INFO  com.example.ming.MingApplicationTests-Started MingApplicationTests in 5.134 seconds (JVM running for 6.127)
2019-07-14 11:08:22.522 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor-Shutting down ExecutorService 'applicationTaskExecutor'
2019-07-14 11:08:33.143 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.ming.MingApplicationTests], using SpringBootContextLoader
2019-07-14 11:08:33.154 [main] INFO  o.s.test.context.support.AbstractContextLoader-Could not detect default resource locations for test class [com.example.ming.MingApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-07-14 11:08:33.155 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils-Could not detect default configuration classes for test class [com.example.ming.MingApplicationTests]: MingApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-07-14 11:08:33.382 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Found @SpringBootConfiguration com.example.ming.MingApplication for test class com.example.ming.MingApplicationTests
2019-07-14 11:08:33.514 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
